posting_id,job_title,company_name,city,category,raw_skills,salary_min,salary_max,posted_date,scraped_at
48,Senior Cloudera Administrator,DataDoers,Lahore,,"Big-Data, high-availability, maintenance-repair-and-operations-mro, planning-and-design, visual-art-design, product-development-and-design, youth-organizations-resources, development-operations-devops, amazon-web-services, microsoft-azure, data-platform, data-center, server-farms, customer-data-platform, google-cloud-platform, good-clinical-practice-gcp, data-engineering, cloud-integration, private-cloud, public-cloud",,,,2026-09-25 11:14:39.987508
29,Software Development Training & Career Program,KK Solutions,All Cities,,"Mongodb, Coding, HTML, Software Development, Express.js, React Native, Career Growth, model training, React, Node.js, CSS, Wordpress, Machine Learning, Python, Programming, AI, JavaScript, Laravel, Web Development, Tech Training",,,,2026-09-25 11:14:39.987508
30,Data Engineer,Soft Nation Technologies,Karachi,,"Selenium, Scrapy, data-warehouse, machine-learning, Web-Scraping, BeautifulSoup, Data-management, Python, planning-and-design, visual-art-design, product-development-and-design, web-applications, data-extraction, artificial-intelligence, extract-transform-and-load-etl, data-pipeline, electronic-title, extract-load-transform-elt, large-language-model-llm, unstructured-data",,,,2026-09-25 11:14:39.987508
31,AI Researcher,Kassim,All Cities,,"Sustainability, machine-learning, computer-vision, Quality-Control, training-certification, education-training, time-and-attendance, dating-personals, training-and-development, planning-and-design, visual-art-design, product-development-and-design, policies-and-practices, clubs-organizations, artificial-intelligence, cyber-intelligence, fashion-designers-collections, credit-and-collections, customer-review, image-recognition",,,,2026-09-25 11:14:39.987508
32,Artificial Intelligence (AI) Engineer,Verior,Karachi,,"Chatbots, machine-learning, Scalability, Python, training-and-development, planning-and-design, visual-art-design, product-development-and-design, web-applications, artificial-intelligence, search-and-retrieval, cyber-intelligence, large-language-model-llm, app-development, application-development, conversational-ai, generative-artificial-intelligence-generative-ai, prompt-engineering, retrieval-augmented-generation-rag, vector-database",,,,2026-09-25 11:14:39.987508
33,Project Specialist,Kodifly,Islamabad,,"machine-learning, Retrospectives, time-and-attendance, training-and-development, planning-and-design, visual-art-design, product-development-and-design, software-development, artificial-intelligence, cyber-intelligence, planning-and-forecasting, electrical-engineering-and-planning, youth-organizations-resources, development-operations-devops, master-data-management-mdm, mobile-device-management, cloud-services, agile-sprint, software-requirements, system-architecture",,,,2026-09-25 11:14:39.987508
34,Senior Python Developer,One Piece Consulting,Lahore,,"Troubleshooting, Odoo, Mentoring, DOCKER, machine-learning, Fastapi, Python, Debugging, training-and-development, planning-and-design, visual-art-design, product-development-and-design, policies-and-practices, computer-science, artificial-intelligence, enterprise-resource-planning-erp, food-enterprise-resource-planning-erp, medical-devices-enterprise-resource-planning-erp, large-language-model-llm, performance-optimization",,,,2026-09-25 11:14:39.987508
35,Ai Engineer,Luqasai,Rawalpindi,,"Computer Vision, Cloud Infrastructure, API Integrations, Text-to-Speech, Fastapi, Machine Learning, Python, Prompt Engineering, Large Language Models, Model Deployment, Vector Databases, Speech-to-Text, Embeddings, asynchronous workflows, Retrieval-augmented generation, Artificial Intelligence research, Voice Cloning",,,,2026-09-25 11:14:39.987508
36,Surveyor,Munck Civil Engineering,Faisalabad,,"Strong Problem-solving Skills, Fluency in Urdu, Fluency In English, Ability To Work Under Pressure, Diploma or degree in Surveying, Civil Engineering, or related field, 5-10 years of relevant experience as a surveyor, Proficiency with survey instruments such as total station, auto level, laser level, fluency in English communication skills is preferred.",,,,2026-09-25 11:14:39.987508
37,Sales Executive (Metal Fabrication),SOLARIS Engineering Pvt Ltd,Faisalabad,,"Presentation Skills, Negotiation Skills, Data Analytics, Communication Skills, Client Relationship Management, Customer Data Management, Customer Needs Analysis, MS Office Proficiency, Lead Generation, Interpersonal Skills, Sales Forecasting, Time Management, Technical Product Knowledge, Industry Knowledge - Metal Fabrication",,,,2026-09-25 11:14:39.987508
