posting_id,job_title,company_name,city,category,salary_min,salary_max,posted_date,raw_skills,source_url,scraped_at
1,🧠 We’re Hiring: Data Scientist 🟡 Priority: Later​ 📊 Talent Area: Data Science / AI​ 🎯 Focus: Specialized Analytics & Machine Learnin,Nokhba,Lahore,Data Science,,,,"Statistics, Statistical Modeling, Data Preprocessing, Predictive Modeling, Analytics Tools, SQL, Python, Data Visualization, Data Cleaning, Model Evaluation, Machine Learning Frameworks and Libraries",https://www.rozee.pk/nokhba-%f0%9f%a7-we%a0%e2%80%99re-hiring-data-scientist-%f0%9f%9f-priority-later%a1%e2%80%8b-%f0%9f%93-talent-area-data-science-ai%8a%e2%80%8b-%f0%9f%8e-focus-specialized-analytics-machine-learning-a-jobs-1873731,2026-09-25 12:51:19.347947
2,Data Science Intern,ELITE.Org,All Cities,Data Science,,,,"Data Analysis, Data Science, Internship, Deployment, Professional Development, Power BI, Data Modeling, Independent Work, remote work, Portfolio, Dashboarding, Modeling",https://www.rozee.pk/data-science-intern-jobs-1877408,2026-09-25 12:51:19.347947
3,"Male Teacher for Science Subject, from classes 3 to 10 required Male Teacher",AL BADAR SECONDARY SCHOOL,Karachi,Data Science,,,,,https://www.rozee.pk/male-teacher-for-science-subject-from-classes-3-to-10-required-male-teacher-karachi-jobs-1882767,2026-09-25 12:51:19.347947
4,Data Migration Specialist (MS Excel Expert),RepairDesk,Lahore,Data Science,,,,"Data Management, Business Processes, Data Migration, Data Conversion, Test Documentation, Inventory Management, MS Excel, Customer Service, IT, Software, Communication, Computer Science, Zoho, Technical Support, Problem Solving, Software Engineering, JIRA, Customer Support, Analytical skills",https://www.rozee.pk/data-migration-specialist-ms-excel-expert-lahore-jobs-1881274,2026-09-25 12:51:19.347947
5,Software Engineer (Data Science),Shaukat Khanum Memorial Cancer Hospital & Research Centre,Lahore,Data Science,,,,,https://www.rozee.pk/software-engineer-data-science-lahore-jobs-1877254,2026-09-25 12:51:19.347947
6,Senior Software Engineer (Data Science),Shaukat Khanum Memorial Cancer Hospital & Research Centre,Lahore,Data Science,,,,,https://www.rozee.pk/senior-software-engineer-data-science-lahore-jobs-1877253,2026-09-25 12:51:19.347947
7,Professional Computer,Nayyar Academy of Computer Science,Multan,Data Science,,,,"MS Access, In Page, MS Word, MS Excel, Power Point",https://www.rozee.pk/nayyar-academy-of-computer-science-professional-computer-multan-jobs-1873461,2026-09-25 12:51:19.347947
8,Customer Communications Lead,Jeeny,Lahore,Data Science,,,,"Data Analysis, Data Science, Campaign Management, Customer Engagement, Stakeholder Management, Segmentation, Communication Strategy, Salesforce Marketing Cloud, SQL, Braze, CRM Operations, A/B Testing, Iterable, CleverTap, Project Management, CRM, Marketing Automation, Lifecycle marketing, Frequency Capping, Performance Data",https://www.rozee.pk/customer-communications-lead-lahore-jobs-1878595,2026-09-25 12:51:19.347947
9,Senior Data Scientist - TPL Insurance,JazzWorld,Karachi,Data Science,,,,"Risk Assessment, Data Science, Data Quality, Predictive Analytics, Model Validation, Statistical Modelling, Data Preparation, Actuarial Science, Insurance pricing, SQL, Underwriting, Machine Learning, Data Pipelines, Python, Insurance, portfolio performance, Responsible AI, Prescriptive Analytics, GLMs, InsureTech",https://www.rozee.pk/senior-data-scientist-tpl-insurance-karachi-jobs-1880630,2026-09-25 12:51:19.347947
10,Scientific Coding Expert - Material science and Python,Turing,All Cities,Data Science,,,,"GPT, Quality Control, NumPy, Unit Testing, Scientific Writing, Scipy, STEM, Material Science, Test Case Design, Scientific Computing, Python, Research, LLM evaluation, AI Data Annotation, SymPy, Scientific Coding, AI Training Data, Turing Central Task Platform, Scientific Problem Design, Pass@K",https://www.rozee.pk/scientific-coding-expert-material-science-and-python-jobs-1881270,2026-09-25 12:51:19.347947
11,Ecommerce PPC Optimization Specialist,Magnatec Systems Private Limited,Lahore,Data Science,,,,"Data Analysis, Campaign Management, CTR, Digital Advertising, Amazon Vendor Central, Amazon SEO, Campaign Optimization, Jungle Scout, Helium 10, Sponsored Brands, Sponsored Products, Product Listing Optimization, ACOS, Amazon PPC, A/B Testing, Data Dive, Amazon Seller Central, Keyword Research, ROAS, sponsored display",https://www.rozee.pk/ecommerce-ppc-optimization-specialist-lahore-jobs-1877449,2026-09-25 12:51:19.347947
12,Lab Engineer/Junior Lecturer,Barani institute of Management Sciences,Rawalpindi,Data Science,,,,"computer-science, artificial-intelligence, networking-telecommunications, data-science",https://www.rozee.pk/lab-engineerjunior-lecturer-rawalpindi-jobs-1882085,2026-09-25 12:51:19.347947
13,Faculty Hiring - Computer Science,University of South Asia,Lahore,Data Science,,,,"Professor, information-security, Presentations, Mobile-Apps, cloud-computing, training-and-development, computer-science, artificial-intelligence, networking-telecommunications, cyber-intelligence, app-development, application-development, data-security, mobile-application-development",https://www.rozee.pk/faculty-hiring-computer-science-lahore-jobs-1881351,2026-09-25 12:51:19.347947
14,Neuromarketing Specialist,Veloura,All Cities,Data Science,,,,"Data Analysis, neuroscience, Landing Page Optimization, User Experience Research, UX Research, Performance Marketing, Eye-tracking, Conversion Rate Optimization, User Testing, Cognitive Psychology, Consumer Psychology, Behavioral Science, Neuromarketing, Digital Marketing, Visual Hierarchy, A/B Testing, Heatmaps, Heatmap analysis, Biometrics, Visual Attention Analysis",https://www.rozee.pk/neuromarketing-specialist-jobs-1877394,2026-09-25 12:51:19.347947
15,Anti-Fraud (Risk) Officer,Device Now Private Ltd.,Lahore,Data Science,,,,"Financial Regulations, Risk Assessment, Data Analysis, Risk Analysis, Compliance Management, Transaction Monitoring, Fraud detection and prevention, Report Writing, Attention to Detail, investigative techniques",https://www.rozee.pk/device-now-private-ltd-anti-fraud-officer-jobs-1872058,2026-09-25 12:51:19.347947
16,Amazon Account Manager,Ecom Managers,Jhelum,Data Science,,,,"Data Analysis, Account Management, Customer Relationship Management, Account Planning, Cross-functional Collaboration, Jungle Scout, Helium 10, Inventory Management, eCommerce Strategy, Product Listing Optimization, Retail Analytics, A/B Testing, Amazon Seller Central, Keyword Research, sales performance analysis, Marketplace Compliance",https://www.rozee.pk/ecom-managers-amazon-account-manager-jhelum-jobs-1872098,2026-09-25 12:51:19.347947
17,Senior Data Engineer I,Bullpen Capital,All Cities,Data Science,,,,"Analytics, open-source, testing-and-analysis, training-and-development, insurance-consulting-and-technology, planning-and-design, visual-art-design, product-development-and-design, application-programming-interface-api, amazon-web-services, data-pipeline, data-platform, distribution-and-storage, data-analytics, app-development, application-development, data-engineering, data-storage, data-science, customer-self-service",https://www.rozee.pk/senior-data-engineer-i-jobs-1878314,2026-09-25 12:51:19.347947
18,Anti-Fraud (Risk) Team Lead,Device Now Private Ltd.,Lahore,Data Science,,,,"Risk Assessment, Data Analysis, Fraud Investigation, Analytical Thinking, Communication Skills, Transaction Monitoring, Fraud detection and prevention, Confidentiality Management, Interpersonal Skills, Microsoft Office Proficiency, Problem Solving, Team Leadership",https://www.rozee.pk/device-now-private-ltd-anti-fraud-team-lead-jobs-1872059,2026-09-25 12:51:19.347947
84,Data Entry Operator,CSR SERVICES LLC,Rawalpindi,Data Science,,,,"Reporting, MS Office Applications, Data Verification, pivot tables), Microsoft Excel, Data Entry, Advanced Excel functions (VLOOKUP, Typing with high accuracy, Basic knowledge of databases or CRM systems",https://www.rozee.pk/data-entry-operator-rawalpindi-jobs-1875982,2026-09-25 12:51:19.347947
19,"Business Development Executive, UK Market",Lost Circle,All Cities,Data Science,,,,"Data Analysis, Customer Relationship Management, Sales Strategy, Business Networking, Client Relationship Building, Market Trend Analysis, Lead Qualification, Market Research, Lead Generation, Written Communication, CRM Software, Sales Prospecting",https://www.rozee.pk/lost-circle-business-development-executive-uk-market-jobs-1875206,2026-09-25 12:51:19.347947
20,📊 We’re Hiring: Data Analyst 🟠 Priority: Medium​ 📈 Talent Area: Analytics / Data Are you passionate about turning data into meaningful in,Nokhba,Lahore,Data Science,,,,"Data Analysis, Statistical Analysis, Tableau, Analytical Thinking, Power BI, SQL, Excel, Critical Thinking, Communication, Problem Solving, Data Visualization, Attention to Detail, Business Intelligence",https://www.rozee.pk/nokhba-%f0%9f%93-we%8a%e2%80%99re-hiring-data-analyst-%f0%9f%9f-priority-medium%a0%e2%80%8b-%f0%9f%93-talent-area-analytics-data-are-you-passionate-about-turning-data-into-meaningful-insights-we%88%e2-jobs-1873729,2026-09-25 12:51:19.347947
21,Supervisory Senior Advisory Services,OASIS Consulting Group,Karachi,Data Science,,,,"Presentation Skills, Data Science, Big Data, Transaction Advisory, Customer Relationship Management (CRM), Report Writing, Management, Communication, Data Visualization, Proposal Writing, Microsoft Excel, Analytical skills, MP/M",https://www.rozee.pk/supervisory-senior-advisory-services-karachi-jobs-1878543,2026-09-25 12:51:19.347947
22,Salesforce Data Management Assistant,Modeverse PRO,Lahore,Data Science,,,,"Documentation, Databases, Data Management, Communication Training, Customer Relationship Management (CRM), Import Operations, Identifying Trends, Google Sheets, Communication, Computer Science, Microsoft Excel, Sales, Analytical skills",https://www.rozee.pk/salesforce-data-management-assistant-lahore-jobs-1878656,2026-09-25 12:51:19.347947
23,Management Trainee - Total Quality Management (TQM),Cybernet,Karachi,Data Science,,,,"Analytics, SQL, Power-BI, maintenance-repair-and-operations-mro, testing-and-analysis, education-training, time-and-attendance, reporting-and-disclosure, adaptive-project-management-and-reporting, computer-science, eye-face-and-head, business-intelligence, quality-management, data-analytics, process-improvement, fashion-designers-collections, credit-and-collections, power-and-cooling, data-science, business-analytics",https://www.rozee.pk/management-trainee-total-quality-management-tqm-karachi-jobs-1880477,2026-09-25 12:51:19.347947
24,AI Researcher,Kassim,Karachi,Data Science,,,,"Statistics, Data Analysis, Research Methodology, Data Science, Computer Vision, Scikit-learn, Performance Measurement, TensorFlow, Data Preprocessing, Experimental Design, PyTorch, Problem-Solving, Technical Documentation, Critical Thinking, Machine Learning, Python, Artificial Intelligence, AI Researcher, Denim Industry, Sustainable Fashion",https://www.rozee.pk/ai-researcher-karachi-jobs-1878729,2026-09-25 12:51:19.347947
25,Procurement Assistant,S&B Food Products,Hyderabad,Data Science,,,,"Vendor Coordination, Purchase Order Management, Supplier Relationship Management, Invoice Processing, Microsoft Dynamics 365, Follow-up Skills, Quotation comparison, Inventory Management, MS Excel, Negotiation, ERP Software, Organizational Skills, Time Management, Compliance And Regulatory Knowledge, Communication, Data Entry and Documentation, Data Entry, Stock management systems, Purchase Requisition Preparation, Analytical skills, Supplier Documentation Handling",https://www.rozee.pk/sb-food-products-procurement-assistant-hyderabad-jobs-1872734,2026-09-25 12:51:19.347947
26,Instructor - Advanced Excel & Data Analytics,The Hunar Foundation,Karachi,Data Science,,,,"Analytics, Power-BI, testing-and-analysis, training-certification, education-training, time-and-attendance, assessment-assessment-tools, training-and-development, reporting-and-disclosure, adaptive-project-management-and-reporting, computer-science, information-technology, business-intelligence, data-analytics, data-cleansing-data-scrubbing, power-and-cooling, classroom-management, data-visualization",https://www.rozee.pk/instructor-advanced-excel-data-analytics-karachi-jobs-1880200,2026-09-25 12:51:19.347947
27,Faculty for BS International Relations and BS Political Science,School of International Law (SIL),Islamabad,Data Science,,,,"Gmail, political-science",https://www.rozee.pk/faculty-for-bs-international-relations-and-bs-political-science-islamabad-jobs-1880419,2026-09-25 12:51:19.347947
28,Materials Science Analyst,Gramian Consulting Group,All Cities,Data Science,,,,,https://www.rozee.pk/materials-science-analyst-jobs-1878795,2026-09-25 12:51:19.347947
29,Team Lead AI and Computer Vision,JBS Global - Jaffer Business Systems,Karachi,Data Science,,,,"Mentoring, Pricing, machine-learning, computer-vision, time-and-attendance, assessment-assessment-tools, training-and-development, computer-science, coaching-mentoring, coupons-and-deals, eye-face-and-head, artificial-intelligence, youth-organizations-resources, mode, large-language-model-llm, image-recognition, lean-six-sigma, data-science",https://www.rozee.pk/team-lead-ai-and-computer-vision-karachi-jobs-1878285,2026-09-25 12:51:19.347947
30,ERP/Data Manager,GenZ Talent,Lahore,Data Science,,,,"Data Analysis, Data Management, Data Integrity, Data Validation, Data Administration, CRM Database Management, English Communication, Reporting, MS Word, DATA ENRICHMENT, MS Excel, MS Outlook, ERP, CRM, Data Cleaning, Data Compliance, Attention to Detail, Dashboard Generation, ERP Data Administration, AI/ML Dataset Preparation",https://www.rozee.pk/erpdata-manager-lahore-jobs-1880977,2026-09-25 12:51:19.347947
31,Assisstant Professor Computer Science,Fazaia College of Education for Women Lahore,Lahore,Data Science,,,,"Professor, Mentoring, time-and-attendance, assessment-assessment-tools, computer-science, coaching-mentoring, colleges-universities, mode, classroom-management, collateralized-loan-obligation-clo",https://www.rozee.pk/assisstant-professor-computer-science-lahore-jobs-1879452,2026-09-25 12:51:19.347947
32,Assistant Professor Computer Science,"Fazaia College of Education for Women, Lahore Cantt",Lahore,Data Science,,,,"Curriculum Development, Publications, Deep Learning, Accreditation, University Lecturing, Teacher Training, Quality Assurance, Management, Communication, Computer Science, Classroom Management",https://www.rozee.pk/assistant-professor-computer-science-lahore-jobs-1878641,2026-09-25 12:51:19.347947
33,Science Assosiate Primery Teacher,THE SMART SCHOOL CANTT WAY CAMPUS,Karachi,Data Science,,,,"Internships, time-and-attendance",https://www.rozee.pk/science-assosiate-primery-teacher-karachi-jobs-1880082,2026-09-25 12:51:19.347947
34,Computer Science Graduate,e2e,Lahore,Data Science,,,,"Troubleshooting, environment-health-and-safety-hsse, ecology-environment, insurance-consulting-and-technology, computer-science, information-technology, information-and-communication-technology-ict, ability-lms",https://www.rozee.pk/computer-science-graduate-lahore-jobs-1881972,2026-09-25 12:51:19.347947
35,Female Science Teacher,Karachi Public School GHC,Karachi,Data Science,,,,"Teaching Skills, Effective Communication and Presentation, Organizational Skills, Classroom Management, Strong Subject Knowledge In Science, Ability to explain complex concepts simply, Student academic development",https://www.rozee.pk/female-science-teacher-karachi-jobs-1877121,2026-09-25 12:51:19.347947
36,Amazon Account Manager,Codevexai,All Cities,Data Science,,,,"Data Analysis, Amazon Account Management, Amazon SEO, Listing Optimization, PPC Management, Keyword Research, Product launch and scaling, Product Ranking Strategies, Helium 10 or similar research tools, Copywriting (English), Profit margin and advertising economics",https://www.rozee.pk/amazon-account-manager-jobs-1876493,2026-09-25 12:51:19.347947
37,Lead Instructor - Forward Deploying AI Engineer,Edversity,Islamabad,Data Science,,,,"Mentoring, machine-learning, fine-tuning, time-and-attendance, assessment-assessment-tools, training-and-development, policies-and-practices, computer-science, cabinet-construction-materials-hardware, artificial-intelligence, search-and-retrieval, continuous-improvement-process-cip, mode, large-language-model-llm, app-development, application-development, prompt-engineering, retrieval-augmented-generation-rag, vehicle-modification-tuning, data-science",https://www.rozee.pk/lead-instructor-forward-deploying-ai-engineer-islamabad-jobs-1882441,2026-09-25 12:51:19.347947
38,Software Engineer (Experienced),Educative Inc,Lahore,Data Science,,,,"Mentoring, Scalability, Data-Structures, testing-and-analysis, assessment-assessment-tools, insurance-consulting-and-technology, planning-and-design, visual-art-design, product-development-and-design, sensors-test-measurement, computer-science, programming-languages, software-quality, customer-experience-and-engagement, continuous-improvement-process-cip, carried-interest, emerging-technologies, root-cause-analysis-rca, wafer-on-wafer-technology-wow, product-investment",https://www.rozee.pk/software-engineer-experienced-lahore-jobs-1880542,2026-09-25 12:51:19.347947
39,Researcher/ Assistant,Infin,All Cities,Data Science,,,,"Data Analysis, Data Collection, Data Management, Qualitative Research, English Proficiency, Statistical Software, Independent research, Market Research, Report Writing, Data Visualization, Project Coordination, Reliable high-speed internet connection, Confident and professional phone manner, STEM Background (Science, Technology, Engineering, or Mathematics), Top academic standing; distinction holders preferred, Previous remote work experience with an international/overseas employer, Statistical Software (e.g., SPSS, R, MATLAB)",https://www.rozee.pk/infin-researcher-assistant-jobs-1872508,2026-09-25 12:51:19.347947
40,Technical Support Officer,Tapsys (Private) Limited,Karachi,Data Science,,,,"Structured Finance, Documentation, Technical Assistance, Service Desk, MS-DOS, Knowledge Base, Communication, Computer Science, Microsoft Excel, Engineering, Analytical skills, High Pressure",https://www.rozee.pk/technical-support-officer-karachi-jobs-1878533,2026-09-25 12:51:19.347947
41,Senior Backend Engineer – Payment Domain Specialist,Insijam private limited,Karachi,Data Science,,,,"Troubleshooting, Nodejs, Microservices, Authentication, Scalability, SQL, high-availability, Java, training-and-development, planning-and-design, visual-art-design, product-development-and-design, code-review, computer-science, quality-assurance, development-operations-devops, back-end-development, payment-processing, data-encryption, amazon-payment-services",https://www.rozee.pk/senior-backend-engineer-%e2%80%93-payment-domain-specialist-karachi-jobs-1882211,2026-09-25 12:51:19.347947
42,E commerce PPC Acquisition Specialist,Magnatec Systems Private Limited,Lahore,Data Science,,,,"JS, Budget Management, Cross-functional Collaboration, Performance Reporting, Campaign Performance Analysis, Helium 10, Sponsored Brands, Sponsored Products, Amazon PPC, Amazon PPC Campaign Management, A/B Testing, DataDive, Audience Targeting, Keyword Research, Data-driven decision-making, Bid Optimization, Ad Creative Optimization, sponsored display, Sellics, Amazon Advertising Policies",https://www.rozee.pk/e-commerce-ppc-acquisition-specialist-lahore-jobs-1881132,2026-09-25 12:51:19.347947
43,Hands-On SEO Internship – Boost Your Career in Digital Marketing,Packaging Box,Lahore,Data Science,,,,"Internships, Analytics, Wordpress, Gemini, Digital-Marketing, Canva, Keywords, testing-and-analysis, education-training, artificial-intelligence, search-and-retrieval, international-search-engine-optimization-seo, search-engine-optimization-seo, data-analytics, google-search-console, google-analytics, website-performance, claude-by-anthropic",https://www.rozee.pk/hands-on-seo-internship-%e2%80%93-boost-your-career-in-digital-marketing-lahore-jobs-1882200,2026-09-25 12:51:19.347947
44,Head of Revenue & Pricing - Fintech / Digital Payment,Eila Solutions,Lahore,Data Science,,,,"Analytics, Pricing, SQL, Python, Fintech, Remittances, Revenue-management, compliance, insurance-consulting-and-technology, particulate-matter, eye-face-and-head, cyber-intelligence, business-intelligence, data-analytics, competitive-pricing, stakeholder-management, digital-payment, data-science",https://www.rozee.pk/head-of-revenue-pricing-fintech-digital-payment-lahore-jobs-1878319,2026-09-25 12:51:19.347947
45,Computer Science Teacher,Dar-e-Arqam School,Lahore,Data Science,,,,"MCS, training-certification, education-training, time-and-attendance, assessment-assessment-tools, environment-health-and-safety-hsse, ecology-environment, training-and-development, computer-science, classroom-management, direct-attached-storage-das, distributed-antenna-systems-das",https://www.rozee.pk/computer-science-teacher-lahore-jobs-1881815,2026-09-25 12:51:19.347947
46,Junior Oracle APEX Developer,Dr. Frigz International,Sialkot,Data Science,,,,"HTML, Databases, Rolling, Oracle Database, Oracle Reports, Gmail, DATA SERVICES, Oracle Application Express, Flutter, SQL, HTML5, PL/SQL, Management, Communication, Computer Science, JavaScript",https://www.rozee.pk/junior-oracle-apex-developer-sialkot-jobs-1878738,2026-09-25 12:51:19.347947
47,Software Engineer II - Backend | NextGen Engineering,Careem,Lahore,Data Science,,,,"Spring, Spring-boot, Scalability, SQL, Data-Structures, Java, testing-and-analysis, training-and-development, planning-and-design, visual-art-design, product-development-and-design, sensors-test-measurement, computer-science, coupons-and-deals, amazon-web-services, company-values, technology-stack, emerging-technologies, java-8, micro-services-architecture",https://www.rozee.pk/software-engineer-ii-backend-nextgen-engineering-lahore-jobs-1881598,2026-09-25 12:51:19.347947
48,Internship Data Entry Operator - DEO,Siraj Din Energy Private Limited,Lahore,Data Science,,,,"Documentation, Typing Speed, Record Management, MS Office Tools, MS Word, MS Excel, Organizational Skills, Time Management, Attention to Detail, Data Entry, Numerical and data-handling skills",https://www.rozee.pk/internship-data-entry-operator-deo-lahore-jobs-1876783,2026-09-25 12:51:19.347947
49,Computer Science Graduate,e2e,All Cities,Data Science,,,,"Troubleshooting, Software Development, Service Quality, Self-Learning, Independent Work, Scalability, Software services, Risk Management, Information Technology, Artificial Intelligence, Communication, Computer Science, Attention to Detail, Teamwork, On-time Delivery, Engineering, AI-powered solutions, Analytical skills, Final-Year Project",https://www.rozee.pk/computer-science-graduate-jobs-1879851,2026-09-25 12:51:19.347947
50,IT Officer,AA Enterprises,Karachi,Data Science,,,,"Troubleshooting, IT-SUPPORT, IT-operations, access-control, maintenance-repair-and-operations-mro, computer-science, cabinet-construction-materials-hardware, information-technology, networking-telecommunications, technical-support-tech-support, doors-windows, data-security, network-connectivity",https://www.rozee.pk/it-officer-karachi-jobs-1880132,2026-09-25 12:51:19.347947
51,Science & Mathematics Teacher,The Avicenna Education System,Islamabad,Data Science,,,,"Presentations, time-and-attendance, assessment-assessment-tools, environment-health-and-safety-hsse, ecology-environment, job-descriptions",https://www.rozee.pk/science-mathematics-teacher-islamabad-jobs-1882751,2026-09-25 12:51:19.347947
85,Communications Executive,Optimize BPO & IT Services,Karachi,Data Science,,,,"Presentations, computer-science, information-technology",https://www.rozee.pk/communications-executive-karachi-jobs-1879855,2026-09-25 12:51:19.347947
